order,slug,category_pl,title_pl,title_en,primary_keyword_pl,cover_image,source_file
35,dieta-przed-kolonoskopia-przygotowanie,Jelita i badania,"Dieta przed kolonoskopią: co jeść, czego unikać i jak nie zepsuć przygotowania","Colonoscopy prep diet: what to eat, what to avoid and how not to ruin the preparation",dieta przed kolonoskopią,/images/blog/dieta-przed-kolonoskopia-przygotowanie-cover.webp,35_dieta-przed-kolonoskopia-przygotowanie.md
36,dieta-choroba-uchylkowa-jelita,Jelita,"Dieta przy chorobie uchyłkowej jelita: błonnik, pestki i co robić w zaostrzeniu","Diverticular disease diet: fibre, seeds and what changes during a flare",choroba uchyłkowa dieta,/images/blog/dieta-choroba-uchylkowa-jelita-cover.webp,36_dieta-choroba-uchylkowa-jelita.md
37,dieta-po-usunieciu-pecherzyka-zolciowego,Pęcherzyk żółciowy,"Dieta po usunięciu pęcherzyka żółciowego: tłuszcz, biegunka i powrót do normalnego jedzenia","Diet after gallbladder removal: fat, diarrhoea and returning to normal eating",dieta po usunięciu pęcherzyka żółciowego,/images/blog/dieta-po-usunieciu-pecherzyka-zolciowego-cover.webp,37_dieta-po-usunieciu-pecherzyka-zolciowego.md
38,dieta-przy-zapaleniu-trzustki,Trzustka,"Dieta przy zapaleniu trzustki: po szpitalu, w przewlekłej chorobie i bez mitów o głodzeniu","Pancreatitis diet: after hospital, in chronic disease and without fasting myths",dieta przy zapaleniu trzustki,/images/blog/dieta-przy-zapaleniu-trzustki-cover.webp,38_dieta-przy-zapaleniu-trzustki.md
39,dieta-antyhistaminowa-nietolerancja-histaminy,Nietolerancje,"Dieta antyhistaminowa: kiedy ma sens, jak ją testować i dlaczego nie powinna trwać bez końca","Low-histamine diet: when it makes sense, how to test it and why it should not last forever",dieta antyhistaminowa,/images/blog/dieta-antyhistaminowa-nietolerancja-histaminy-cover.webp,39_dieta-antyhistaminowa-nietolerancja-histaminy.md
40,dieta-w-migrenie-regularne-posilki,Migrena,"Dieta w migrenie: regularne posiłki, nawodnienie i tropienie wyzwalaczy bez paniki","Migraine diet: regular meals, hydration and tracking triggers without panic",migrena dieta,/images/blog/dieta-w-migrenie-regularne-posilki-cover.webp,40_dieta-w-migrenie-regularne-posilki.md
41,dieta-przy-luszczycy,Skóra i stan zapalny,"Dieta przy łuszczycy: wsparcie stanu zapalnego, masa ciała i czego nie obiecywać","Psoriasis diet: inflammation support, body weight and what not to promise",dieta przy łuszczycy,/images/blog/dieta-przy-luszczycy-cover.webp,41_dieta-przy-luszczycy.md
42,niedobor-witaminy-d-dieta-suplementacja,Niedobory,"Niedobór witaminy D: dieta, słońce, suplementacja i dlaczego same ryby zwykle nie wystarczą","Vitamin D deficiency: diet, sunlight, supplements and why fish alone is usually not enough",niedobór witaminy D dieta,/images/blog/niedobor-witaminy-d-dieta-suplementacja-cover.webp,42_niedobor-witaminy-d-dieta-suplementacja.md
43,niedobor-witaminy-b12-dieta,Niedobory,"Niedobór witaminy B12: dieta, metformina, IPP i kiedy suplementacja jest konieczna","Vitamin B12 deficiency: diet, metformin, PPIs and when supplementation is necessary",niedobór witaminy B12 dieta,/images/blog/niedobor-witaminy-b12-dieta-cover.webp,43_niedobor-witaminy-b12-dieta.md
44,dieta-przy-hemoroidach,Jelita i wypróżnienia,"Dieta przy hemoroidach: błonnik, płyny i toaleta bez parcia","Haemorrhoids diet: fibre, fluids and toilet habits without straining",dieta przy hemoroidach,/images/blog/dieta-przy-hemoroidach-cover.webp,44_dieta-przy-hemoroidach.md
