order,slug,recommended_file,alt_pl,alt_en,ai_prompt,negative_prompt,stock_fallback_url
25,dieta-sibo-co-jesc,/images/blog/dieta-sibo-co-jesc-cover.webp,"Prosty lekkostrawny posiłek z ryżem, cukinią i źródłem białka jako ilustracja diety przy SIBO","Simple low-fermentation meal with rice, courgette and protein illustrating a SIBO diet","Photorealistic editorial food photography, 16:9 horizontal, clean Polish kitchen table, simple low-fermentation meal with rice, baked chicken or tofu, cooked courgette and carrots, herbal tea, soft natural daylight, calm clinical nutrition mood, no text, no labels, no people.","no text, no logos, no watermarks, no supplement bottles, no medical devices, no people unless explicitly needed",https://www.pexels.com/photo/dinner-dish-with-rice-chicken-and-vegetables-6066052/
26,dieta-helicobacter-pylori-zapalenie-zoladka,/images/blog/dieta-helicobacter-pylori-zapalenie-zoladka-cover.webp,"Łagodny posiłek z owsianką, bananem i zupą warzywną jako ilustracja diety przy H pylori","Gentle meal with oats, banana and vegetable soup illustrating H pylori and gastritis nutrition","Photorealistic editorial food photography, 16:9 horizontal, calm bright kitchen, gentle stomach-friendly foods: bowl of oatmeal, banana slices, mild vegetable soup, chamomile tea, soft natural light, neutral colors, no text, no labels, no people.","no text, no logos, no watermarks, no supplement bottles, no medical devices, no people unless explicitly needed",https://www.pexels.com/photo/delicious-banana-cinnamon-oatmeal-breakfast-bowl-28792769/
27,dieta-lekkostrawna-kiedy-ma-sens,/images/blog/dieta-lekkostrawna-kiedy-ma-sens-cover.webp,"Talerz lekkostrawnego posiłku z gotowanymi ziemniakami, marchewką i delikatną rybą","Plate of an easy-to-digest meal with boiled potatoes, carrot and mild fish","Photorealistic editorial food photography, 16:9 horizontal, light digestible Polish meal: boiled potatoes, steamed carrots, baked white fish, mild vegetable soup, clean white plate, soft daylight, no text, no labels, no people.","no text, no logos, no watermarks, no supplement bottles, no medical devices, no people unless explicitly needed",https://www.pexels.com/photo/healthy-meal-with-carrots-brussels-and-meat-4929721/
28,dieta-przy-biegunce-nawodnienie,/images/blog/dieta-przy-biegunce-nawodnienie-cover.webp,"Woda, doustny płyn nawadniający, ryż i banan jako ilustracja diety przy biegunce","Water, oral rehydration drink, rice and banana illustrating diet during diarrhoea","Photorealistic editorial food photography, 16:9 horizontal, minimal clean table with glass of water, oral rehydration drink in clear glass, small bowl of rice, banana, plain toast, soft natural light, no text, no labels, no people, no medicine packaging.","no text, no logos, no watermarks, no supplement bottles, no medical devices, no people unless explicitly needed",https://www.pexels.com/photo/delicious-banana-oatmeal-breakfast-bowl-35578518/
29,dieta-po-antybiotyku-jelita,/images/blog/dieta-po-antybiotyku-jelita-cover.webp,"Fermentowane produkty, kefir, owies i warzywa jako ilustracja diety wspierającej jelita po antybiotyku","Fermented foods, kefir, oats and vegetables illustrating gut-supportive eating after antibiotics","Photorealistic editorial food photography, 16:9 horizontal, natural Polish kitchen table with kefir, plain yoghurt, sauerkraut, oats, berries, wholegrain bread and vegetables, warm daylight, clean wellness editorial style, no text, no labels, no people, no supplement bottles.","no text, no logos, no watermarks, no supplement bottles, no medical devices, no people unless explicitly needed",https://www.pexels.com/search/fermented%20food%20kefir/
30,dieta-przy-tradziku,/images/blog/dieta-przy-tradziku-cover.webp,"Posiłek o niskim ładunku glikemicznym z owsianką, owocami jagodowymi, orzechami i jogurtem jako ilustracja diety przy trądziku","Low glycaemic meal with oats, berries, nuts and yoghurt illustrating acne nutrition","Photorealistic editorial food photography, 16:9 horizontal, low glycaemic skin-friendly meal flat lay: oats, berries, nuts, leafy greens, salmon or tofu bowl, natural daylight, clean modern style, no text, no labels, no faces, no people.","no text, no logos, no watermarks, no supplement bottles, no medical devices, no people unless explicitly needed",https://www.pexels.com/photo/healthy-breakfast-in-bowl-7656614/
31,dieta-na-odpornosc-bez-mitow,/images/blog/dieta-na-odpornosc-bez-mitow-cover.webp,"Kolorowy talerz z warzywami, rybą, kefirem i produktami pełnoziarnistymi jako ilustracja diety wspierającej odporność","Colourful plate with vegetables, fish, kefir and whole grains illustrating immune-supportive nutrition","Photorealistic editorial food photography, 16:9 horizontal, colourful immune-supportive meal: vegetables, citrus fruit, legumes, oily fish, kefir, wholegrain bread, nuts, natural daylight, clean healthy editorial style, no text, no labels, no pills, no people.","no text, no logos, no watermarks, no supplement bottles, no medical devices, no people unless explicitly needed",https://www.pexels.com/photo/food-ingredients-on-the-table-4051649/
32,dieta-nadczynnosc-tarczycy,/images/blog/dieta-nadczynnosc-tarczycy-cover.webp,"Odżywczy posiłek z jajkami, jogurtem, orzechami i owocami jako ilustracja diety przy nadczynności tarczycy","Nourishing meal with eggs, yoghurt, nuts and fruit illustrating hyperthyroidism nutrition","Photorealistic editorial food photography, 16:9 horizontal, nourishing high-energy small meals: eggs, yoghurt bowl, nuts, avocado, wholegrain toast, fruit, soft daylight, clean table, no text, no labels, no people, no supplement bottles.","no text, no logos, no watermarks, no supplement bottles, no medical devices, no people unless explicitly needed",https://www.pexels.com/photo/healthy-breakfast-flat-lay-with-fruits-and-toast-34305253/
33,dieta-na-plodnosc-przygotowanie-do-ciazy,/images/blog/dieta-na-plodnosc-przygotowanie-do-ciazy-cover.webp,"Talerz przedkoncepcyjny z zielonymi warzywami, jajkami, strączkami i produktami pełnoziarnistymi","Preconception meal with leafy greens, eggs, pulses and whole grains","Photorealistic editorial food photography, 16:9 horizontal, preconception nutrition flat lay: leafy greens, lentils, eggs, wholegrain bread, citrus fruit, nuts, olive oil, calm bright kitchen, no text, no labels, no pregnancy test, no people.","no text, no logos, no watermarks, no supplement bottles, no medical devices, no people unless explicitly needed",https://www.pexels.com/photo/egg-and-vegetable-dish-2067473/
34,zdrowe-drugie-sniadanie-do-szkoly,/images/blog/zdrowe-drugie-sniadanie-do-szkoly-cover.webp,"Kolorowy lunchbox szkolny z pełnoziarnistą kanapką, warzywami, owocem, jogurtem i wodą","Colourful school lunchbox with wholegrain sandwich, vegetables, fruit, yoghurt and water","Photorealistic editorial food photography, 16:9 horizontal, healthy Polish school lunchbox on kitchen table: wholegrain sandwich, cucumber and carrot sticks, apple slices, berries, plain yoghurt, water bottle, bright natural daylight, no text, no logos, no children, no faces.","no text, no logos, no watermarks, no supplement bottles, no medical devices, no people unless explicitly needed",https://www.pexels.com/photo/healthy-lunchbox-with-fruits-and-vege-5852329/
